"title_moloko	squad_moloko	calories_moloko	protein_moloko	fat_moloko	carbohydrate_moloko	category_moloko	barcode_moloko"
"Молоко Parmalat Natura Premium ультрапастеризованное 1.8%, 1л	Нормализованное молоко.	47	3	1.8	4.7	Молоко	null"
"Молоко Parmalat безлактозное ультрапастеризованное 3.5%, 1л	Нормализованное молоко.	62	3	3.5	4.7	Молоко	null"
"Молоко питьевое ультрапастеризованное 3.2% Пр!ст, 970мл	Молоко нормализованное.	60	3	3.2	4.7	Молоко	null"
"Молоко детское ультрапастеризованное 3.2% Сарафаново, 970мл	Нормализованное молоко.	59.2	2.9	3.2	4.7	Молоко	null"
"Молоко Ешь Деревенское цельное пастеризованное 3%-5.5%, 1л	Молоко питьевое цельное  пастеризованное	70	3	4	70	Молоко	null"
"Молоко Рузское пастеризованное 2.5%, 1л	Молоко цельное, молоко обезжиренное.	53	3	2.5	53	Молоко	null"
"Молоко Эконива цельное питьевое пастеризованное 3.3-6%, 1л	Цельное пастеризованное молоко.	85	3	3.3	85	Молоко	null"
"Молоко Чабан питьевое пастеризованное 2.5%, 930мл	Молоко цельное, молоко обезжиренное.	53	3	2.5	53	Молоко	null"
"Молоко Братья Чебурашкины безлактозное пастеризованное 3.6-4.6%, 500мл	Молоко цельное, с использованием ферментного препарата Биолактаза.	72	3	4.6	72	Молоко	null"
"Молоко Кубанский Молочник цельное отборное 3.4-6%, 720мл	Молоко цельное.	61	2.8	3.4	4.7	Молоко	null"
"Молоко G-balance козье 3.5-4.8%, 500мл	Молоко козье цельное.	55.2	3	4.8	55.2	Молоко	null"
"Молоко Искренне Ваш отборное питьевое пастеризованное 3.4-6%, 930мл	Цельное молоко.	0.7	3	3.4	0.7	Молоко	null"
"Молоко Простоквашино питьевое пастеризованное 1.5%, 930мл	Молоко нормализованное.	44	2.9	1.5	44	Молоко	null"
"Молоко Правильное Молоко пастеризованное 1.5%, 900мл	Нормализованное молоко.	44	3	1.5	44	Молоко	null"
"Молоко Рузское цельное пастеризованное 3.2-4%, 1л	Молоко цельное.	67	3	4	4.7	Молоко	null"
"Молоко Маруся отборное пастеризованное 3.5-4.5%, 930мл	Молоко цельное.	70	2.8	4.5	70	Молоко	null"
"Молоко Правильное Молоко пастеризованное 3.2-4%, 900мл	Цельное молоко.	67	3	4	67	Молоко	null"
"Молоко 2.5% пастеризованное Зелёная Линия, 1.4кг	Молоко цельное, молоко обезжиренное.	53	3	2.5	4.7	Зелёная Линия	null"
"Молоко Нашей Дойки Отборное цельное пастеризованное 3.4-6%, 900мл	Молоко цельное.	62	3	3.4	62	Молоко	null"
"Молоко пастеризованное 1.5% Зелёная Линия, 900г	Молоко обезжиренное, молоко цельное.	44.3	3	1.5	44.3	Молоко	null"
"Молоко Эконива пастеризованное 2.5%, 1л	Молоко цельное,молоко обезжиренное.	55	3	2.5	55	Молоко	null"
"Молоко пастеризованное 3.2% Зелёная Линия, 900мл	Молоко цельное, молоко обезжиренное.	60	3	3.2	60	Молоко	null"
"Молоко Село Зелёное пастеризованное 3.2%, 1.947л	Молоко цельное, молоко обезжиренное.	60	3	3	60	Молоко	null"
"Молоко пастеризованное Домик в деревне 3.7%, 930мл	Молоко цельное.	71	4.5	3	71	Молоко	null"
"Молоко Правильное Молоко пастеризованное 3.2-4%, 2л	Цельное молоко.	63.5	3	3.6	63.5	Молоко	null"
"Молоко Эконива цельное пастеризованное 3.3-6%, 1л	Молоко цельное.	60	3	3.3	60	Молоко	null"
"Молоко отборное пастеризованное 3.4-6% Молочный Знак, 900мл	Молоко цельное.	61	2.8	3.4	61	Молочный Знак	null"
"Молоко детское пастеризованное 2.5% Сарафаново, 930мл	Нормализованное молоко.	52.9	2.9	2.5	52.9	Молоко	null"
"Молоко отборное пастеризованное 3.4-6% Зелёная Линия, 900мл	Молоко цельное.	84	2.8	3.4	84	Молоко	null"
"Молоко Простоквашино отборное пастеризованное 3.4-4.5%, 930мл	Цельное молоко.	61	2.9	0	61	Молоко	null"
"Молоко пастеризованное Домик в деревне 3.7%, 1.4л	Молоко цельное.	71	2.9	4.5	71	Молоко	null"
"Молоко питьевое пастеризованное 2.5% ПЭТ Зелёная Линия, 900мл	Молоко цельное, молоко обезжиренное.	53	3	2.5	53	Молоко	null"
"Молоко Экомилк цельное отборное пастеризованное 3.4-4.5%, 900мл	Молоко цельное.	70	3	4.5	4.7	Молоко	null"
"Молоко пастеризованное Домик в деревне 2.5%, 930мл	Молоко нормализованное.	53	3	2.5	53	Молоко	null"
"Молоко Простоквашино питьевое пастеризованное 3.2%, 1.4л	Молоко нормализованное.	59	2.9	3.2	59	Молоко	null"
"Молоко цельное отборное детское пастеризованное 3.4-4% Сарафаново, 930мл	Цельное молоко.	66.4	2.9	4	66.4	Молоко	null"
"Молоко Простоквашино пастеризованное 2.5%, 930мл	Молоко нормализованное.	53	3	2.5	53	Молоко	null"
"Молоко пастеризованное Домик в деревне 2.5%, 1.4л	Молоко нормализованное.	53	3	2.5	4.7	Молоко	null"
